date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2023-08-25,venoco_bridge,1.5566666666666666,32.03333333333333,24.633333333333333
2023-09-01,east_channel,2.31,31.9,24.9
2023-09-01,phelps_bridge,2.055,1.6,20.05
2023-09-01,venoco_bridge,0.6133333333333333,37.333333333333336,25.4
2023-09-08,east_channel,10.36,37.1,25
2023-09-08,phelps_bridge,4.54,1.8,19.2
2023-09-08,venoco_bridge,8.823333333333334,38.2,24.53333333333333
2023-09-15,east_channel,6.14,41.4,21.1
2023-09-15,phelps_bridge,0.185,1.8,18.95
2023-09-15,venoco_bridge,6.253333333333334,42.6,22.1
2023-09-22,venoco_bridge,4.623333333333333,46.4,21.766666666666666
2023-09-29,phelps_bridge,0.79,1.9,17.7
2023-09-29,venoco_bridge,0.6166666666666667,52.06666666666666,22.266666666666666
2023-10-06,phelps_bridge,0.73,2.1,16.5
2023-10-06,venoco_bridge,0.4666666666666667,56.36666666666667,22.400000000000002
2023-10-13,phelps_bridge,0.25,2.2,15
2023-10-13,venoco_bridge,3.7666666666666666,60.93333333333334,19.133333333333333
2023-10-20,phelps_bridge,0.71,2,16.7
2023-10-20,venoco_bridge,3.51,60.4,20.1
2023-10-27,phelps_bridge,1.31,2,13.7
2023-10-27,venoco_bridge,4.9,65.15,18.85
2023-11-03,phelps_bridge,3.95,2.2,9.9
2023-11-03,venoco_bridge,2.4050000000000002,68.75,14.45
2023-11-17,phelps_bridge,0.81,1.5,13.3
2023-11-17,venoco_bridge,4.06,34.5,18.3
2023-11-27,phelps_bridge,2.45,1.7,9
2023-11-27,venoco_bridge,6.425,60.6,14.399999999999999
2023-12-01,phelps_bridge,2.22,1.7,11.3
2023-12-01,venoco_bridge,8.505,64,14.05
2023-12-15,phelps_bridge,9.6,1.8,8
2023-12-15,venoco_bridge,14.05,62.95,13.3
2023-12-19,phelps_bridge,7.390000000000001,0.3,15.8
2023-12-19,venoco_bridge,7.65,31.85,15.2
2023-12-22,east_channel,4.55,0.26,15.540000000000001
2023-12-22,phelps_bridge,6.6899999999999995,0.5,15.040000000000001
2023-12-22,venoco_bridge,5.13,4.64,14.98
2024-01-03,east_channel,3.1416666666666666,5.183333333333334,15.083333333333332
2024-01-03,phelps_bridge,0.6900000000000001,4.74,15
2024-01-03,venoco_bridge,3.6342857142857143,9.014285714285714,14.971428571428572
2024-01-06,east_channel,5.526,2.7600000000000002,13.94
2024-01-06,phelps_bridge,0.542,4.12,14.24
2024-01-06,venoco_bridge,4.708571428571428,9.185714285714285,14.514285714285714
2024-01-19,east_channel,2.854,4.24,15.72
2024-01-19,phelps_bridge,2.502,4.38,15.18
2024-01-19,venoco_bridge,1.8557142857142859,10.642857142857142,15.585714285714285
2024-01-26,east_channel,3.27,17.5,18.5
2024-01-26,phelps_bridge,1.205,1.7,15
2024-01-26,venoco_bridge,6.966666666666667,28.4,15.866666666666667
2024-02-02,phelps_bridge,8.29,1.2,15
2024-02-02,venoco_bridge,7.42,1,15.7
2024-02-09,phelps_bridge,8.530000000000001,1.7,11.45
2024-02-09,venoco_bridge,9.3,16.325,14.325
2024-02-24,east_channel,9.65,6.1,16.8
2024-02-24,phelps_bridge,8.58,2,13.8
2024-02-24,venoco_bridge,7.05,21.833333333333336,17.466666666666665
2024-03-08,east_channel,8.16,3.8,19.6
2024-03-08,phelps_bridge,10.225,1.7,14.05
2024-03-08,venoco_bridge,8.076666666666668,15,15.966666666666667
2024-03-22,east_channel,8.75,19.8,22.1
2024-03-22,phelps_bridge,8.434999999999999,2.3,15.65
2024-03-22,venoco_bridge,7.95,23.03333333333333,22.466666666666665
2024-03-29,east_channel,12.65,5.9,17.3
2024-03-29,phelps_bridge,7.52,2.2,14.5
2024-03-29,venoco_bridge,9.486666666666666,8.066666666666666,18.73333333333333
2024-04-05,east_channel,8.41,0.2,14
2024-04-05,phelps_bridge,7.895,0.9,12.5
2024-04-05,venoco_bridge,8.428,7,15.1
2024-04-09,venoco_bridge,7.883333333333334,9.266666666666667,15.399999999999999
2024-04-12,east_channel,7.97,12.95,20.9
2024-04-12,phelps_bridge,5.42,1.9,15
2024-04-12,venoco_bridge,8.8125,20.2,22.525
2024-04-23,east_channel,10.586666666666666,5.633333333333333,20.900000000000002
2024-04-23,phelps_bridge,7.666666666666667,2.2,17.1
2024-04-23,venoco_bridge,10.996,10.379999999999999,22.74
2024-04-26,east_channel,12.81,6.2,21.05
2024-04-26,phelps_bridge,7.82,2.25,17.05
2024-04-26,venoco_bridge,11.1775,8.85,21.275
2024-05-03,east_channel,7.85,7.5,20.7
2024-05-03,phelps_bridge,3.74,2.2,16.75
2024-05-03,venoco_bridge,6.225,9.825,22.85
2024-05-10,east_channel,8.243333333333334,8.1,20.733333333333334
2024-05-10,phelps_bridge,3.615,2.2,16.3
2024-05-10,venoco_bridge,8.425,12.55,22.9
2024-05-17,east_channel,9.93,8.350000000000001,19.85
2024-05-17,phelps_bridge,7.23,2.25,16.65
2024-05-17,venoco_bridge,8.335,11.95,22.275
2024-05-24,east_channel,7.973333333333334,8.733333333333333,19.53333333333333
2024-05-24,phelps_bridge,5.69,2.3,15.9
2024-05-24,venoco_bridge,8.46,12.175,22.05
2024-05-31,east_channel,6.93,9.4,19.299999999999997
2024-05-31,phelps_bridge,2.66,2.3,15.9
2024-05-31,venoco_bridge,7.613333333333333,13.5,23.266666666666666
2024-06-07,east_channel,7.315,10.149999999999999,21.3
2024-06-07,phelps_bridge,3.35,2.2,17.55
2024-06-07,venoco_bridge,8.5275,13.6,24.15
2024-06-17,east_channel,7.754999999999999,11.7,26.6
2024-06-17,phelps_bridge,5.35,2.2,21
2024-06-17,venoco_bridge,10.9725,15.125,28.075
2024-06-24,east_channel,5.755,12.7,26.2
2024-06-24,phelps_bridge,3.68,2.2,20.7
2024-06-24,venoco_bridge,6.4325,14.299999999999999,27.5
2024-06-28,east_channel,5.205,13.5,24.15
2024-06-28,phelps_bridge,2.645,2.2,19.9
2024-06-28,venoco_bridge,6.245,16.825,26.925
2024-07-05,east_channel,4.88,10.149999999999999,22.299999999999997
2024-07-05,venoco_bridge,5.1,21.75,26.725
2024-07-12,east_channel,5.8149999999999995,18.9,22.75
2024-07-12,phelps_bridge,5.475,2.6,19.35
2024-07-12,venoco_bridge,3.8775,23.225,25.775
2024-07-19,east_channel,6.26,20.049999999999997,23.950000000000003
2024-07-19,phelps_bridge,5.58,2.5,20.35
2024-07-19,venoco_bridge,5.0825,24.325,25.725
2024-07-26,east_channel,7.779999999999999,22.049999999999997,25.950000000000003
2024-07-26,phelps_bridge,5.365,2.5,20.95
2024-07-26,venoco_bridge,4.1475,26.15,25.825
2024-08-02,east_channel,9.735,24.05,25.05
2024-08-02,phelps_bridge,5.615,2.45,20.1
2024-08-02,venoco_bridge,5.303333333333334,27.1,24.166666666666668
2024-08-09,east_channel,9.07,25.8,24.3
2024-08-09,phelps_bridge,6.815,2.3,19.9
2024-08-09,venoco_bridge,5.6899999999999995,28.233333333333334,23.733333333333334
2024-08-22,east_channel,4.81,28.3,27.5
2024-08-22,phelps_bridge,4.545,2.3,20.9
2024-08-22,venoco_bridge,3.9266666666666667,30.8,25.2
2024-08-29,east_channel,3.16,28.1,22.6
2024-08-29,phelps_bridge,2.81,2.3,18.9
